,DHL_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE_cuenta,ESTAFETA_TERRESTRE_CONSUMO,ESTAFETA_TERRESTRE_CONSUMO_cuenta,bike,destiny_zipcode,origin_zipcode,weight
0,61.6,,,122.3,8668532,,77586,22110,1
1,77.0,,,122.3,8668532,,77586,22110,2
2,96.24,,,127.75,8668532,,77586,22110,3
3,115.48,,,133.2,8668532,,77586,22110,4
4,134.72,,,138.51,8622603,,77586,22110,5
5,153.96,,,143.96,8622603,,77586,22110,6
6,173.2,,,146.37,5056308,,77586,22110,7
7,192.45,,,146.37,5056308,,77586,22110,8
8,211.69,,,146.37,5056308,,77586,22110,9
9,230.93,,,146.37,5056308,,77586,22110,10
10,250.17,,,151.82,5056308,,77586,22110,11
11,269.41,,,154.2,5522411,,77586,22110,12
12,288.65,,,154.2,5522411,,77586,22110,13
13,307.89,,,154.2,5522411,,77586,22110,14
14,327.13,,,154.2,5522411,,77586,22110,15
15,346.38,,,154.2,5522411,,77586,22110,16
16,365.62,,,154.2,5522411,,77586,22110,17
17,384.86,,,154.2,5522411,,77586,22110,18
18,404.1,,,154.2,5522411,,77586,22110,19
19,423.34,,,154.2,5522411,,77586,22110,20
20,441.84,,,159.65,5522411,,77586,22110,21
21,460.34,,,165.10000000000002,5522411,,77586,22110,22
22,478.84,,,170.55,5522411,,77586,22110,23
23,497.34,,,176.0,5522411,,77586,22110,24
24,515.85,,,181.45,5522411,,77586,22110,25
25,534.35,,,186.9,5522411,,77586,22110,26
26,552.85,,,192.35000000000002,5522411,,77586,22110,27
27,571.35,,,197.8,5522411,,77586,22110,28
28,589.85,,,203.25,5522411,,77586,22110,29
29,608.35,,,208.7,5522411,,77586,22110,30
30,626.85,,,214.15000000000003,5522411,,77586,22110,31
31,645.35,,,219.60000000000002,5522411,,77586,22110,32
32,663.86,,,225.05,5522411,,77586,22110,33
33,682.36,,,230.5,5522411,,77586,22110,34
34,700.86,,,235.95,5522411,,77586,22110,35
35,719.36,,,241.40000000000003,5522411,,77586,22110,36
36,737.86,,,246.85000000000002,5522411,,77586,22110,37
37,756.36,,,252.3,5522411,,77586,22110,38
38,774.86,,,257.75,5522411,,77586,22110,39
39,793.36,,,263.2,5522411,,77586,22110,40
40,811.86,,,268.65000000000003,5522411,,77586,22110,41
41,830.37,,,274.1,5522411,,77586,22110,42
