Código Postal,Municipio,Estado,Siglas Plaza,LU,MA,MI,JU,VI,SA,DO,Periodicidad,Es Ocurre Forzoso,Reexpedición,Garantía Máxima
01000,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01010,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01020,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01029,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01030,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01040,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01048,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01049,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01050,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01060,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01070,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01080,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01089,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01090,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01100,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01109,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01110,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01120,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01125,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01130,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01139,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01140,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01150,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01159,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01160,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01170,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01180,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01184,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01200,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01210,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01219,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01220,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01230,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01239,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01240,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01250,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01259,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01260,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01269,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01270,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01275,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01276,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01278,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01279,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01280,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01285,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01289,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01290,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01296,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01298,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01299,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01310,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01320,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01330,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01340,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01376,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
